Unnamed: 0,date,top_artists,top_1,top_2,top_3,Introduction
52,2023-02-22,"['XXXTentacion', 'Hannah Waddingham', 'Hayden Panettiere']",XXXTentacion,Hannah Waddingham,Hayden Panettiere,"Jahseh Dwayne Ricardo Onfroy (January 23, 1998 – June 18, 2018), known professionally as XXXTentacion, (English:  eks-eks-eks-TEN-təss-YOHN Spanish pronunciation: [tentaˈθjon]) was an American rapper and singer-songwriter. Though a controversial figure due to his widely publicized legal troubles, XXXTentacion gained a cult following among his young fanbase during his short career with his depression- and alienation-themed music. Critics and fans often credit him for his musical versatility, with his music exploring emo, trap, trap metal, nu metal, indie rock, lo-fi, hip hop, R&B, and punk rock. He is considered to be a leading figure in the establishment of the emo rap and SoundCloud rap genres, which garnered mainstream attention during the mid-to-late 2010s.
Born in Plantation, Florida, XXXTentacion spent most of his childhood in Lauderhill. He began writing music after being released from a juvenile detention center and soon started his music career on SoundCloud in 2013, employing styles and techniques that were unconventional in rap music such as distortion and heavy guitar-backed instrumentals, drawing inspiration from third-wave emo and grunge. In 2014, he formed the underground collective Members Only and alongside other members of the collective soon became a popular figure in SoundCloud rap, a trap music scene that takes elements of lo-fi music and harsh 808s. XXXTentacion gained mainstream attention with the single ""Look at Me"". His debut album 17 (2017) is certified triple-platinum in the US and reached number two on the Billboard 200. His second album ? (2018) debuted at number one on the Billboard 200 and is certified quintuple-platinum in the US. Its lead single, ""Sad!"", posthumously reached number one on the Billboard Hot 100, and had amassed more than 1.2 billion views on YouTube and 2.1 billion streams on Spotify by February 2024, as well as being certified Diamond by the RIAA in August 2021.
XXXTentacion faced a variety of legal issues throughout his lifetime, most notably the controversy that arose from the battery charges that were levied against him in 2016. His history of legal issues and alleged violence has been described by some as defining his legacy, while others have criticized the media's portrayal of him, arguing that his perceived improvements in character later in life have made his legacy into a tale of the power of second chances and redemption.
On June 18, 2018, XXXTentacion, age 20, was murdered when he was shot near a motorcycle dealership in Deerfield Beach, Florida. The attackers fled the scene in an SUV after stealing his Louis Vuitton bag containing $50,000 in cash. Four suspects were arrested and charged with first-degree murder among other charges. In August 2022, one of the four men pleaded guilty to second-degree murder in exchange for testimony against the other three defendants in their trial. The trial initiated on February 7, 2023. On March 20, 2023, all three were found guilty on all counts. On April 6, 2023, they were sentenced to life imprisonment without the possibility of parole.
XXXTentacion has RIAA-certified sales of 61 million units in the US and BPI-certified sales of over 7 million units in the UK, bringing his total to 68 million certified records sold in the two countries. Since his death, he has won an American Music Award and a BET Hip Hop Award and received 11 Billboard Music Award nominations. Two posthumous albums were released, Skins (2018) and Bad Vibes Forever (2019); the former became his second number-one album on the Billboard 200, while the latter entered the top 5."
53,2023-02-23,"['Lewis Capaldi', 'R. Kelly', 'XXXTentacion']",Lewis Capaldi,R. Kelly,XXXTentacion,"Lewis Marc Capaldi (born 7 October 1996) is a Scottish singer-songwriter and musician. He was nominated for the Critics' Choice Award at the 2019 Brit Awards.  Capaldi also won the 2020 Brit Award for Best New Artist. In March 2019, his single ""Someone You Loved"" (2018) topped the UK Singles Chart where it remained for seven weeks, and in November 2019, it reached number one on the US Billboard Hot 100; it was nominated at the 62nd Annual Grammy Awards for Song of the Year and won the 2020 Brit Award for Song of the Year. ""Someone You Loved"" was the bestselling single of 2019 in the UK. In May 2020, it was announced that Capaldi's song ""Someone You Loved"" had become the longest-running top 10 UK single of all time by a British artist.
On 17 May 2019, he released his debut album, Divinely Uninspired to a Hellish Extent, which remained at the top of the UK Albums Chart for six weeks. It later went on to become the best-selling album of 2019 and 2020 in the UK. His second album Broken by Desire to Be Heavenly Sent (2023) was supported by the lead single ""Forget Me"", released in 2022."
54,2023-02-24,"['Lewis Capaldi', 'R. Kelly', 'XXXTentacion']",Lewis Capaldi,R. Kelly,XXXTentacion,"Lewis Marc Capaldi (born 7 October 1996) is a Scottish singer-songwriter and musician. He was nominated for the Critics' Choice Award at the 2019 Brit Awards.  Capaldi also won the 2020 Brit Award for Best New Artist. In March 2019, his single ""Someone You Loved"" (2018) topped the UK Singles Chart where it remained for seven weeks, and in November 2019, it reached number one on the US Billboard Hot 100; it was nominated at the 62nd Annual Grammy Awards for Song of the Year and won the 2020 Brit Award for Song of the Year. ""Someone You Loved"" was the bestselling single of 2019 in the UK. In May 2020, it was announced that Capaldi's song ""Someone You Loved"" had become the longest-running top 10 UK single of all time by a British artist.
On 17 May 2019, he released his debut album, Divinely Uninspired to a Hellish Extent, which remained at the top of the UK Albums Chart for six weeks. It later went on to become the best-selling album of 2019 and 2020 in the UK. His second album Broken by Desire to Be Heavenly Sent (2023) was supported by the lead single ""Forget Me"", released in 2022."
55,2023-02-25,"['Linda Ronstadt', 'XXXTentacion', 'Lewis Capaldi']",Linda Ronstadt,XXXTentacion,Lewis Capaldi,"Linda Maria Ronstadt (born July 15, 1946) is an American singer who performed and recorded in diverse genres including rock, country, light opera, the Great American Songbook, and Latin music.
Ronstadt has earned 11 Grammy Awards, three American Music Awards, two Academy of Country Music awards, an Emmy Award, and an ALMA Award. Many of her albums have been certified gold, platinum or multiplatinum in the United States and internationally. She has also earned nominations for a Tony Award and a Golden Globe award. She was awarded the Latin Grammy Lifetime Achievement Award by the Latin Recording Academy in 2011 and also awarded the Grammy Lifetime Achievement Award by the Recording Academy in 2016. She was inducted into the Rock and Roll Hall of Fame in April 2014. On July 28, 2014, she was awarded the National Medal of Arts and Humanities. In 2019, she received a star jointly with Dolly Parton and Emmylou Harris on the Hollywood Walk of Fame for their work as the group Trio. Ronstadt was among five honorees who received the 2019 Kennedy Center Honors for lifetime artistic achievements.
Ronstadt has released 24 studio albums and 15 compilation or greatest hits albums. She charted 38 US Billboard Hot 100 singles. Twenty-one of those singles reached the top 40, ten reached the top 10, and one reached number one (""You're No Good""). Ronstadt also charted in UK as two of her duets, ""Somewhere Out There"" with James Ingram and ""Don't Know Much"" with Aaron Neville, peaked at numbers 8 and 2 respectively and the single ""Blue Bayou"" reached number 35 on the UK Singles charts. She has charted 36 albums, ten top-10 albums, and three number 1 albums on the US Billboard Pop Album Chart. Ronstadt has lent her voice to over 120 albums, collaborating with artists in many genres, including: Dolly Parton, Emmylou Harris, Bette Midler, Billy Eckstine, Frank Zappa, Carla Bley (Escalator Over the Hill), Rosemary Clooney, Flaco Jiménez, Philip Glass, Warren Zevon, Gram Parsons, Neil Young, Paul Simon, Earl Scruggs, Johnny Cash, and Nelson Riddle. Christopher Loudon, of Jazz Times, wrote in 2004 that Ronstadt is ""blessed with arguably the most sterling set of pipes of her generation.""
Ronstadt reduced her activity after 2000 when she felt her singing voice deteriorating. She released her final solo album in 2004 and her final collaborative album in 2006 and performed her final live concert in 2009. She announced her retirement in 2011 and revealed shortly afterwards that she is no longer able to sing as a result of a degenerative condition initially diagnosed as Parkinson's disease but later determined to be progressive supranuclear palsy. Since then, Ronstadt has continued to make public appearances, going on a number of public speaking tours in the 2010s. She published an autobiography, Simple Dreams: A Musical Memoir, in September 2013. A documentary based on her memoirs, Linda Ronstadt: The Sound of My Voice, was released in 2019."
56,2023-02-26,"['Olivia Newton-John', 'XXXTentacion', 'Jack White']",Olivia Newton-John,XXXTentacion,Jack White,"Dame Olivia Newton-John  (26 September 1948 – 8 August 2022) was a British and  Australian singer and actress. She was a four-time Grammy Award winner whose music career included fifteen top-ten singles, including five number-one singles on the Billboard Hot 100 and two number-one albums on the Billboard 200: If You Love Me, Let Me Know (1974) and Have You Never Been Mellow (1975). Eleven of her singles (including two Platinum) and fourteen of her albums (including two Platinum and four 2× Platinum) have been certified Gold by the Recording Industry Association of America (RIAA).
In 1978, Newton-John starred in the musical film Grease, which was the highest-grossing musical film at the time and whose soundtrack remains one of the world's best-selling albums. It features two major hit duets with co-star John Travolta: ""You're the One That I Want""—which is one of the best-selling singles of all time—and ""Summer Nights"". Her signature solo recordings include the Record of the Year Grammy winner ""I Honestly Love You"" (1974) and ""Physical"" (1981)—Billboard's highest-ranking Hot 100 single of the 1980s. Other defining hit singles include ""If Not for You"" and ""Banks of the Ohio"" (both 1971), ""Let Me Be There"" (1973), ""If You Love Me (Let Me Know)"" (1974), ""Have You Never Been Mellow"" (1975), ""Sam"" (1977), ""Hopelessly Devoted to You"" (1978; also from Grease), ""A Little More Love"" (1978), ""Twist of Fate"" (1983) and, from the 1980 film Xanadu, ""Magic"" and ""Xanadu"" (with the Electric Light Orchestra).
With over 100 million records sold Newton-John is one of the best-selling music artists of all time as well as the highest-selling female Australian recording artist of all-time. Newton-John, who had breast cancer three times, was an advocate and sponsor for breast cancer research. In 2012, the Olivia Newton-John Cancer and Wellness Centre opened in her home town of Melbourne. She also was an activist for environmental and animal rights causes."
57,2023-02-27,"['Sally Field', 'Zendaya', 'XXXTentacion']",Sally Field,Zendaya,XXXTentacion,"Sally Margaret Field (born November 6, 1946) is an American actress. Known for her extensive work on screen and stage, she has received many accolades throughout her career spanning five decades, including two Academy Awards, two Golden Globe Awards, and three Primetime Emmy Awards, in addition to nominations for a Tony Award and two British Academy Film Awards. She was presented with a star on the Hollywood Walk of Fame in 2014, the National Medal of Arts in 2014, the Kennedy Center Honor in 2019, and the Screen Actors Guild Life Achievement Award in 2023.
Field began her career on television, starring in the comedies Gidget (1965–1966), The Flying Nun (1967–1970), and The Girl with Something Extra (1973–1974). She received the Primetime Emmy Award for Outstanding Lead Actress in a Limited Series or Movie for the NBC television film Sybil (1976). Her film debut was as an extra in Moon Pilot (1962) followed by starring roles in The Way West (1967), Stay Hungry (1976), Smokey and the Bandit (1977), Heroes (1977), The End (1978), and Hooper (1978). She won two Academy Awards for Best Actress for Norma Rae (1979), and Places in the Heart (1984). Other notable roles include in Smokey and the Bandit II (1980), Absence of Malice (1981), Kiss Me Goodbye (1982), Murphy's Romance (1985), Steel Magnolias (1989), Soapdish (1991), Mrs. Doubtfire (1993), and Forrest Gump (1994).
In the 2000s, Field returned to television with a recurring role on the NBC medical drama ER, for which she won the Primetime Emmy Award for Outstanding Guest Actress in a Drama Series in 2001. For her role of Nora Walker in the ABC drama series Brothers & Sisters (2006–2011), Field won the Primetime Emmy Award for Outstanding Lead Actress in a Drama Series. She portrayed Mary Todd Lincoln in Lincoln (2012), for which she received an Academy Award for Best Supporting Actress nomination. She portrayed Aunt May in The Amazing Spider-Man (2012) and its 2014 sequel. Other roles include in the films Hello, My Name Is Doris (2015), and 80 for Brady (2023), as well as in the Netflix limited series Maniac (2018).
She made her professional stage debut replacing Mercedes Ruehl in the original Broadway production of Edward Albee's The Goat, or Who Is Sylvia? in 2002. Field returned to the stage after an absence of 15 years with the 2017 revival of Tennessee Williams's The Glass Menagerie, for which she received a nomination for the Tony Award for Best Actress in a Play. She made her debut on the West End theatre in the revival of Arthur Miller's All My Sons in 2019."
58,2023-02-28,"['Steven Seagal', 'XXXTentacion', 'Selena Gomez']",Steven Seagal,XXXTentacion,Selena Gomez,"Steven Frederic Seagal ( sig-AHL; born April 10, 1952) is an American actor, producer, screenwriter, martial artist, and musician. A 7th-dan black belt in aikido, he began his adult life as a martial arts instructor in Japan and would run his father-in-law's dojo for a time. He later moved to Los Angeles where he continued teaching aikido. In 1988, Seagal made his acting debut in Above the Law, which is regarded as the first American film to feature aikido in fight sequences. By 1991, he had starred in four films.
In 1992, he played Navy SEAL counter-terrorist expert Casey Ryback in Under Siege, a role he reprised in the sequel Under Siege 2: Dark Territory (1995). In 1994, he starred in his directorial debut film On Deadly Ground. During the latter half of the 1990s, Seagal starred in three more feature films and the direct-to-video film The Patriot. Subsequently, his career shifted to mostly direct-to-video productions. He has since appeared in films and reality shows, most notably as a villain in Robert Rodriguez's Machete (2010), and Steven Seagal: Lawman, which depicted Seagal performing duties as a reserve deputy sheriff. 
Seagal is a guitarist and has released two studio albums, Songs from the Crystal Cave and Mojo Priest, and performed on the scores of several of his films. He has worked with Stevie Wonder and Tony Rebel, who both performed on his debut album. He has been involved in a line of ""therapeutic oil"" products and energy drinks. Seagal is an environmentalist, animal rights activist, and supporter of 14th Dalai Lama Tenzin Gyatso.
Seagal is a supporter of Vladimir Putin, to whom he once referred as ""one of the great living world leaders"". He was granted both Russian and Serbian citizenship in 2016. In 2018, he was appointed Russia's special envoy to the U.S. Since 1991, multiple women have accused Seagal of sexual harassment or assault."
59,2023-03-01,"['Ed Sheeran', 'Selena Gomez', 'XXXTentacion']",Ed Sheeran,Selena Gomez,XXXTentacion,"Edward Christopher Sheeran  ( SHEER-ən; born 17 February 1991) is an English singer-songwriter. Born in Halifax, West Yorkshire, and raised in Framlingham, Suffolk, he began writing songs around the age of eleven. In early 2011, Sheeran independently released the extended play No. 5 Collaborations Project. He signed with Asylum Records the same year.
Sheeran's debut album, + (""Plus""), was released in September 2011 and topped the UK Albums Chart. It contained his first hit single ""The A Team"". In 2012, Sheeran won the Brit Awards for Best British Male Solo Artist and British Breakthrough Act. Sheeran's second studio album, × (""Multiply""), topped charts around the world upon its release in June 2014. It was named the second-best-selling album worldwide of 2015. In the same year, × won Album of the Year at the 2015 Brit Awards, and he received the Ivor Novello Award for Songwriter of the Year from the British Academy of Songwriters, Composers and Authors. A single from ×, ""Thinking Out Loud"", earned him the 2016 Grammy Awards for Song of the Year and Best Pop Solo Performance.
Sheeran's third album, ÷ (""Divide""), was released in March 2017, and was the best-selling album worldwide of 2017. The first two singles from the album, ""Shape of You"" and ""Castle on the Hill"", broke records in a number of countries by debuting in the top two positions of the charts. He also became the first artist to have two songs debut in the US top 10 in the same week. By March 2017, Sheeran had accumulated ten top-10 singles from ÷ on the UK Singles Chart, breaking the record for most top-10 UK singles from one album. His fourth single from ÷, ""Perfect"", reached number one in the US, Australia, and the UK, where it became the Christmas number one in 2017. The world's best-selling artist of 2017, he was named the Global Recording Artist of the Year. Released in 2019, his fourth overall and first collaborative album, No.6 Collaborations Project, debuted at number one in most major markets, and spawned three UK number one singles, ""I Don't Care"", ""Beautiful People"", and ""Take Me Back to London"". His fifth studio album, = (""Equals""), topped the charts in most major markets in 2021. His sixth album, - (""Subtract""), was released on 5 May 2023, while his seventh album, Autumn Variations, was released on 29 September 2023 under his own record label, Gingerbread Man Records.
Sheeran has sold more than 150 million records worldwide, making him one of the world's best-selling music artists. He has 101 million RIAA-certified units in the US, and two of his albums are in the list of the best-selling albums in UK chart history. In December 2019, the Official Charts Company named him artist of the decade, with the most combined success in the UK album and singles charts in the 2010s. As of April 2022, he is the most followed artist on Spotify. Beginning in March 2017, his ÷ Tour became the highest-grossing of all time in August 2019. An alumnus of the National Youth Theatre in London, Sheeran's acting roles include appearing in the 2019 film Yesterday, playing himself."
60,2023-03-02,"['Selena Gomez', 'Ed Sheeran', 'XXXTentacion']",Selena Gomez,Ed Sheeran,XXXTentacion,"Selena Marie Gomez ( sə-LEE-nə GOH-mez; born July 22, 1992) is an American singer, songwriter, actress, producer, and businesswoman. She began her career as a child actress, starring on the children's television series Barney & Friends (2002–2004). Gomez rose to prominence and emerged as a teen idol, for her leading role as Alex Russo on the Disney Channel sitcom Wizards of Waverly Place (2007–2012). As a recording artist, she signed with Hollywood Records in 2008 and formed the pop rock band Selena Gomez & the Scene, for which she served as lead vocalist. With three studio albums and seven singles, each of the band's releases have received gold certifications or higher by the Recording Industry Association of America (RIAA). 
Further pursuing a career as a soloist, Gomez found continued success with her solo studio albums, as each have debuted atop the U.S. Billboard 200. Her EDM-inspired debut, Stars Dance (2013) yielded the international top-ten single ""Come & Get It"". Desiring more artistic control, Gomez signed with Interscope Records to release the electropop set Revival (2015), supported by the top-ten singles ""Good for You"", ""Same Old Love"", and ""Hands to Myself"". Its follow-up, Rare (2020), topped the charts in 11 countries, and was led by the single ""Lose You to Love Me"", which marked Gomez's first number-one song on both the U.S. Billboard Hot 100 and the Canadian Hot 100. She forayed into Spanish-language music with the extended play Revelación (2021), which earned her first Grammy and Latin Grammy Award nominations. Gomez has also released various collaborative singles, including ""We Don't Talk Anymore"", ""It Ain't Me"", ""Wolves"", ""Taki Taki"", and ""Calm Down (Remix)""; the latter became the most commercially successful Afrobeats song of all time and became the best-selling collaboration of 2023 globally.
Gomez has starred in numerous films, including voicing Mavis in the Hotel Transylvania film franchise (2012–2022). On television, she produced the teen drama series 13 Reasons Why (2017–2020), the documentary Living Undocumented (2019), her cooking show Selena + Chef (2020–present), and the mystery comedy series Only Murders in the Building (2021–present), in which she plays a lead acting role. Gomez has received numerous accolades, including an American Music Award, a Billboard Music Award, two MTV Video Music Awards, and 16 Guinness World Records; and received nominations for five Emmy Awards, two Grammy Awards, and two Golden Globe Awards. 
Outside of music and acting, Gomez has worked with various charitable organizations, and advocates for mental health, and gender, racial, and LGBT equality; she has been a UNICEF goodwill ambassador since 2009. She launched the cosmetics company Rare Beauty in 2020, which was valued at $2 billion in 2024, and founded the Rare Impact Fund, a non-profit committed to raising $100 million this decade for mental health awareness. Gomez has been featured in listicles such as the Time 100, Time 100 Summit (2020, 2024) and Forbes 30 Under 30 (2016 and 2020), and was named the Billboard Woman of the Year in 2017. Billboard ranked her as one of the most successful artists of the 2010s decade. With over 430 million followers, she is the most-followed woman on Instagram, as of 2024."
61,2023-03-03,"['Selena Gomez', 'XXXTentacion', 'Bruce Willis']",Selena Gomez,XXXTentacion,Bruce Willis,"Selena Marie Gomez ( sə-LEE-nə GOH-mez; born July 22, 1992) is an American singer, songwriter, actress, producer, and businesswoman. She began her career as a child actress, starring on the children's television series Barney & Friends (2002–2004). Gomez rose to prominence and emerged as a teen idol, for her leading role as Alex Russo on the Disney Channel sitcom Wizards of Waverly Place (2007–2012). As a recording artist, she signed with Hollywood Records in 2008 and formed the pop rock band Selena Gomez & the Scene, for which she served as lead vocalist. With three studio albums and seven singles, each of the band's releases have received gold certifications or higher by the Recording Industry Association of America (RIAA). 
Further pursuing a career as a soloist, Gomez found continued success with her solo studio albums, as each have debuted atop the U.S. Billboard 200. Her EDM-inspired debut, Stars Dance (2013) yielded the international top-ten single ""Come & Get It"". Desiring more artistic control, Gomez signed with Interscope Records to release the electropop set Revival (2015), supported by the top-ten singles ""Good for You"", ""Same Old Love"", and ""Hands to Myself"". Its follow-up, Rare (2020), topped the charts in 11 countries, and was led by the single ""Lose You to Love Me"", which marked Gomez's first number-one song on both the U.S. Billboard Hot 100 and the Canadian Hot 100. She forayed into Spanish-language music with the extended play Revelación (2021), which earned her first Grammy and Latin Grammy Award nominations. Gomez has also released various collaborative singles, including ""We Don't Talk Anymore"", ""It Ain't Me"", ""Wolves"", ""Taki Taki"", and ""Calm Down (Remix)""; the latter became the most commercially successful Afrobeats song of all time and became the best-selling collaboration of 2023 globally.
Gomez has starred in numerous films, including voicing Mavis in the Hotel Transylvania film franchise (2012–2022). On television, she produced the teen drama series 13 Reasons Why (2017–2020), the documentary Living Undocumented (2019), her cooking show Selena + Chef (2020–present), and the mystery comedy series Only Murders in the Building (2021–present), in which she plays a lead acting role. Gomez has received numerous accolades, including an American Music Award, a Billboard Music Award, two MTV Video Music Awards, and 16 Guinness World Records; and received nominations for five Emmy Awards, two Grammy Awards, and two Golden Globe Awards. 
Outside of music and acting, Gomez has worked with various charitable organizations, and advocates for mental health, and gender, racial, and LGBT equality; she has been a UNICEF goodwill ambassador since 2009. She launched the cosmetics company Rare Beauty in 2020, which was valued at $2 billion in 2024, and founded the Rare Impact Fund, a non-profit committed to raising $100 million this decade for mental health awareness. Gomez has been featured in listicles such as the Time 100, Time 100 Summit (2020, 2024) and Forbes 30 Under 30 (2016 and 2020), and was named the Billboard Woman of the Year in 2017. Billboard ranked her as one of the most successful artists of the 2010s decade. With over 430 million followers, she is the most-followed woman on Instagram, as of 2024."
62,2023-03-04,"['XXXTentacion', 'Selena Gomez', 'Russell Brand']",XXXTentacion,Selena Gomez,Russell Brand,"Jahseh Dwayne Ricardo Onfroy (January 23, 1998 – June 18, 2018), known professionally as XXXTentacion, (English:  eks-eks-eks-TEN-təss-YOHN Spanish pronunciation: [tentaˈθjon]) was an American rapper and singer-songwriter. Though a controversial figure due to his widely publicized legal troubles, XXXTentacion gained a cult following among his young fanbase during his short career with his depression- and alienation-themed music. Critics and fans often credit him for his musical versatility, with his music exploring emo, trap, trap metal, nu metal, indie rock, lo-fi, hip hop, R&B, and punk rock. He is considered to be a leading figure in the establishment of the emo rap and SoundCloud rap genres, which garnered mainstream attention during the mid-to-late 2010s.
Born in Plantation, Florida, XXXTentacion spent most of his childhood in Lauderhill. He began writing music after being released from a juvenile detention center and soon started his music career on SoundCloud in 2013, employing styles and techniques that were unconventional in rap music such as distortion and heavy guitar-backed instrumentals, drawing inspiration from third-wave emo and grunge. In 2014, he formed the underground collective Members Only and alongside other members of the collective soon became a popular figure in SoundCloud rap, a trap music scene that takes elements of lo-fi music and harsh 808s. XXXTentacion gained mainstream attention with the single ""Look at Me"". His debut album 17 (2017) is certified triple-platinum in the US and reached number two on the Billboard 200. His second album ? (2018) debuted at number one on the Billboard 200 and is certified quintuple-platinum in the US. Its lead single, ""Sad!"", posthumously reached number one on the Billboard Hot 100, and had amassed more than 1.2 billion views on YouTube and 2.1 billion streams on Spotify by February 2024, as well as being certified Diamond by the RIAA in August 2021.
XXXTentacion faced a variety of legal issues throughout his lifetime, most notably the controversy that arose from the battery charges that were levied against him in 2016. His history of legal issues and alleged violence has been described by some as defining his legacy, while others have criticized the media's portrayal of him, arguing that his perceived improvements in character later in life have made his legacy into a tale of the power of second chances and redemption.
On June 18, 2018, XXXTentacion, age 20, was murdered when he was shot near a motorcycle dealership in Deerfield Beach, Florida. The attackers fled the scene in an SUV after stealing his Louis Vuitton bag containing $50,000 in cash. Four suspects were arrested and charged with first-degree murder among other charges. In August 2022, one of the four men pleaded guilty to second-degree murder in exchange for testimony against the other three defendants in their trial. The trial initiated on February 7, 2023. On March 20, 2023, all three were found guilty on all counts. On April 6, 2023, they were sentenced to life imprisonment without the possibility of parole.
XXXTentacion has RIAA-certified sales of 61 million units in the US and BPI-certified sales of over 7 million units in the UK, bringing his total to 68 million certified records sold in the two countries. Since his death, he has won an American Music Award and a BET Hip Hop Award and received 11 Billboard Music Award nominations. Two posthumous albums were released, Skins (2018) and Bad Vibes Forever (2019); the former became his second number-one album on the Billboard 200, while the latter entered the top 5."
63,2023-03-05,"['XXXTentacion', 'Selena Gomez', 'Lele Pons']",XXXTentacion,Selena Gomez,Lele Pons,"Jahseh Dwayne Ricardo Onfroy (January 23, 1998 – June 18, 2018), known professionally as XXXTentacion, (English:  eks-eks-eks-TEN-təss-YOHN Spanish pronunciation: [tentaˈθjon]) was an American rapper and singer-songwriter. Though a controversial figure due to his widely publicized legal troubles, XXXTentacion gained a cult following among his young fanbase during his short career with his depression- and alienation-themed music. Critics and fans often credit him for his musical versatility, with his music exploring emo, trap, trap metal, nu metal, indie rock, lo-fi, hip hop, R&B, and punk rock. He is considered to be a leading figure in the establishment of the emo rap and SoundCloud rap genres, which garnered mainstream attention during the mid-to-late 2010s.
Born in Plantation, Florida, XXXTentacion spent most of his childhood in Lauderhill. He began writing music after being released from a juvenile detention center and soon started his music career on SoundCloud in 2013, employing styles and techniques that were unconventional in rap music such as distortion and heavy guitar-backed instrumentals, drawing inspiration from third-wave emo and grunge. In 2014, he formed the underground collective Members Only and alongside other members of the collective soon became a popular figure in SoundCloud rap, a trap music scene that takes elements of lo-fi music and harsh 808s. XXXTentacion gained mainstream attention with the single ""Look at Me"". His debut album 17 (2017) is certified triple-platinum in the US and reached number two on the Billboard 200. His second album ? (2018) debuted at number one on the Billboard 200 and is certified quintuple-platinum in the US. Its lead single, ""Sad!"", posthumously reached number one on the Billboard Hot 100, and had amassed more than 1.2 billion views on YouTube and 2.1 billion streams on Spotify by February 2024, as well as being certified Diamond by the RIAA in August 2021.
XXXTentacion faced a variety of legal issues throughout his lifetime, most notably the controversy that arose from the battery charges that were levied against him in 2016. His history of legal issues and alleged violence has been described by some as defining his legacy, while others have criticized the media's portrayal of him, arguing that his perceived improvements in character later in life have made his legacy into a tale of the power of second chances and redemption.
On June 18, 2018, XXXTentacion, age 20, was murdered when he was shot near a motorcycle dealership in Deerfield Beach, Florida. The attackers fled the scene in an SUV after stealing his Louis Vuitton bag containing $50,000 in cash. Four suspects were arrested and charged with first-degree murder among other charges. In August 2022, one of the four men pleaded guilty to second-degree murder in exchange for testimony against the other three defendants in their trial. The trial initiated on February 7, 2023. On March 20, 2023, all three were found guilty on all counts. On April 6, 2023, they were sentenced to life imprisonment without the possibility of parole.
XXXTentacion has RIAA-certified sales of 61 million units in the US and BPI-certified sales of over 7 million units in the UK, bringing his total to 68 million certified records sold in the two countries. Since his death, he has won an American Music Award and a BET Hip Hop Award and received 11 Billboard Music Award nominations. Two posthumous albums were released, Skins (2018) and Bad Vibes Forever (2019); the former became his second number-one album on the Billboard 200, while the latter entered the top 5."
64,2023-03-06,"['Lynyrd Skynyrd', 'Bruce Willis', 'David Byrne']",Lynyrd Skynyrd,Bruce Willis,David Byrne,"Lynyrd Skynyrd (, LEN-ərd SKIN-ərd) is an American rock band formed in Jacksonville, Florida. The group originally formed as My Backyard in 1964 and comprised Ronnie Van Zant (lead vocalist), Gary Rossington (guitar), Allen Collins (guitar), Larry Junstrom (bass guitar), and Bob Burns (drums). The band spent five years touring small venues under various names and with several lineup changes before deciding on ""Lynyrd Skynyrd"" in 1969. The band released its first album, (Pronounced 'Lĕh-'nérd 'Skin-'nérd), in 1973. By then, they had settled on a lineup that included bassist Leon Wilkeson, keyboardist Billy Powell, and guitarist Ed King. Burns left and was replaced by Artimus Pyle in 1974. King left in 1975 and was replaced by Steve Gaines in 1976. At the height of their fame in the 1970s, the band popularized the Southern rock genre with songs such as ""Sweet Home Alabama"" and ""Free Bird"". After releasing five studio albums and one live album, the band's career was abruptly halted on October 20, 1977, when their chartered airplane crashed, killing Van Zant, Steve Gaines, and backup singer Cassie Gaines; and seriously injuring the rest of the band.
Lynyrd Skynyrd reformed in 1987 for a reunion tour with Ronnie's brother, Johnny Van Zant, as lead vocalist. They continued to tour and record with co-founder Rossington, Johnny Van Zant, and Rickey Medlocke, who first wrote and recorded with the band from 1971 to 1972 before his return in 1996. Over the years, other founding members of the band have died either during—or after—their time in the band. In January 2018, Lynyrd Skynyrd announced its farewell tour, and continued touring until 2022. Members were still working on the band's fifteenth album at the time of Rossington's death in 2023, after which no original members remained in the band.
In 2004, Rolling Stone magazine ranked Lynyrd Skynyrd No. 95 on its list of the ""100 Greatest Artists of All Time"". Lynyrd Skynyrd was inducted into the Rock and Roll Hall of Fame on March 13, 2006. As of 2023, the band has sold more than 28 million records in the United States."
65,2023-03-07,"['Niall Horan', 'Avril Lavigne', 'Lynyrd Skynyrd']",Niall Horan,Avril Lavigne,Lynyrd Skynyrd,"Niall James Horan ( NY-uhl HOR-ruhn; born 13 September 1993) is an Irish singer-songwriter. He rose to prominence as a member of the boy band One Direction, formed in 2010 on the singing competition The X Factor. The group released five albums and went on to become one of the best-selling boy bands of all time. 
Following the band's hiatus in 2016, Horan signed a recording deal as a solo artist with Capitol Records and has since released three albums: Flicker (2017), Heartbreak Weather (2020) and The Show (2023). Flicker debuted at number one in Ireland and the US, and reached the top three  in Australia and the UK. The album's first two singles, ""This Town"" and ""Slow Hands"", reached the top twenty in several countries. Heartbreak Weather was released in March 2020, and debuted at number one in the UK, Ireland and Mexico, and at number four in the US.
Horan's third studio album, titled The Show, was released in June 2023. It was preceded by the singles ""Heaven"" and ""Meltdown"", which were released in February and April 2023, respectively."
